epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,7670.22,0.5836,0.28292,0.94122,0.95,0.95756,0.96817,0.738,0.97089,0.38197,1.29672,0.0001981,0.0001981,0.0001981
83,7762.79,0.57709,0.28072,0.94171,0.95408,0.94797,0.96843,0.73758,0.97042,0.37964,1.29684,0.0001882,0.0001882,0.0001882
84,7855.11,0.57598,0.27859,0.9363,0.95724,0.94431,0.96859,0.73486,0.97323,0.38236,1.30042,0.0001783,0.0001783,0.0001783
85,7947.78,0.57496,0.27669,0.93386,0.9552,0.94771,0.96895,0.73542,0.97244,0.38055,1.30053,0.0001684,0.0001684,0.0001684
86,8040.26,0.56325,0.27769,0.92914,0.96023,0.93824,0.96891,0.73745,0.97159,0.38058,1.30214,0.0001585,0.0001585,0.0001585
87,8132.79,0.55937,0.2751,0.92899,0.94735,0.95421,0.96808,0.73655,0.9719,0.37955,1.30604,0.0001486,0.0001486,0.0001486
88,8227.72,0.55384,0.27133,0.92685,0.95758,0.94573,0.96773,0.73477,0.97296,0.38151,1.30997,0.0001387,0.0001387,0.0001387
89,8323.77,0.54702,0.2687,0.92354,0.95503,0.94618,0.9678,0.73523,0.97247,0.38163,1.31181,0.0001288,0.0001288,0.0001288
90,8420.22,0.54626,0.26673,0.92359,0.9621,0.94283,0.96817,0.73616,0.97146,0.38246,1.31289,0.0001189,0.0001189,0.0001189
91,8525.92,0.52257,0.23245,0.94529,0.94445,0.95868,0.96712,0.73628,0.97245,0.38532,1.31397,0.000109,0.000109,0.000109
92,8618.42,0.49271,0.22205,0.93215,0.9484,0.95381,0.96596,0.7345,0.97217,0.38573,1.31576,9.91e-05,9.91e-05,9.91e-05
93,8710.79,0.48554,0.21891,0.92398,0.94209,0.9576,0.966,0.7358,0.97217,0.38939,1.31908,8.92e-05,8.92e-05,8.92e-05
94,8803.2,0.47531,0.21384,0.91759,0.95123,0.94884,0.96587,0.73593,0.97225,0.3916,1.32132,7.93e-05,7.93e-05,7.93e-05
95,8895.61,0.47174,0.21281,0.91247,0.95183,0.95019,0.96619,0.73403,0.97258,0.39157,1.32356,6.94e-05,6.94e-05,6.94e-05
